２⿰冫欠⿵尺口	nidʑikjokɯ
２⿻千里⿴行重⿱穴犬	nidʑɯɯɕoɯtotsɯ
２⿺辶隹－５⿺辶隹	niɕiɴgoɕiɴ
２⿺辶隹－５⿺辶隹⿰氵去	niɕiɴːgoɕiɴhoɯ
２⿺辶隹５⿺辶隹	niɕiɴgoɕiɴ
２⿺辶隹⿰氵寅⿱⺮具	niɕiɴeɴzaɴ
２⿺辶隹⿰亻匕１０⿺辶隹⿰娄攵	niɕiɴkadʑiɕːiɴsɯɯ
２⿺辶隹⿰亻匕１０⿺辶隹⿱毛衣⿱二小⿰氵去	niɕiɴkadʑiɕːiɴçjoɯdʑihoɯ
２⿺辶隹⿰亻匕１０⿺辶隹⿰氵去	niɕiɴkadʑiɕːiɴhoɯ
２⿺辶隹⿰力口⿱⺮具⿳⿰口口犬⿰口口	niɕiɴkasaɴki
２⿺辶隹⿰娄攵	niɕiɴsɯɯ
２⿺辶隹⿰娄攵⿱宀子	niɕiɴsɯɯdʑi
２？	niniɴ
２⿰糹且	ɸɯtakɯmi
２⿻一人⿰正攵⿻尚兄⿰⿻？巾刂	nidaiseitoɯsei
２⿺辶甬	nitsɯɯ
２⿸广⿱廿又⿱宀⿰丬⿳彐冖又	nidone
２⿱⺮寺	nitoɯ
２⿱⺮寺⿱冖車⿱？日	nitoɯgɯɴsoɯ
２⿱⺮寺⿻？日	nitoɯɕa
２⿱⺮寺⿱尚貝	nitoɯɕoɯ
２⿱⺮寺⿰亲見	nitoɯɕiɴ
２⿱⺮寺⿱八刀	nitoɯbɯɴ
２⿱⺮寺⿱八刀⿰糹泉	nitoɯbɯɴseɴ
２⿱⺮寺⿱丘八	nitoɯhei
２⿱⺮寺辺３⿱⺈用⿰开彡	nitoɯheɴsaɴkakɯkei
２⿴口一	ɸɯtsɯka
２⿰亻咅	nibai
２⿱⿱？米田⿴口二	nibaɴme
２⿰咅阝⿱⺊一⿰土昜⿱人止⿱业⿱？未	nibɯdʑoɯdʑoɯkigjoɯ
２変⿱旦里⿰衤甫⿵門日	niheɴɾjoɯhokaɴ
２⿰木攵	nimai
３	saɴ
３０⿴口一	saɴdʑɯɯnitɕi
３１⿴口一	saɴdʑɯɯitɕinitɕi
３Ｄ	saɴdeiː
３Ｄ⿰日央⿱一⿶凵田	saɴdeiːeiga
３Ｄ⿰日央⿰亻象	saɴdeiːeizoɯ
３Ｋ	saɴkeː
３Ｋ⿰方攵⿰身寸	saɴkeːhoɯɕa
３Ｐ	saɴpiː
３⿴囗口⿻一土	saɴkaisei
３⿱⺈用⿰开彡	saɴkakɯkei
３⿵冂二	saɴgatsɯ
３⿱二儿⿰木才⿰米斗	saɴgeɴzaiɾjoɯ
３？	saɴɕi
３⿰日寺	saɴdʑi
３⿰冫欠⿱二儿	saɴdʑigeɴ
３⿰糹且	saɴkɯmi
３⿱⺮寺	saɴtoɯ
３⿱⺮寺⿱冖車⿱？日	saɴtoɯgɯɴsoɯ
３⿱⺮寺⿱尚貝	saɴtoɯɕoɯ
３⿱⺮寺⿰亲見	saɴtoɯɕiɴ
３⿱⺮寺⿱日生	saɴtoɯsei
３⿱⺮寺⿱八刀	saɴtoɯbɯɴ
３⿴口一	mikːa
３⿻干？	saɴneɴ
３⿰亻咅	saɴbai
３⿰咅阝	saɴbɯ
３⿰木攵	saɴmai
４	ɕi
４ＷＤ	joɴdabɯɾjɯːdeiː
４⿴囗口⿻一土	joɴkaisei
４⿵冂二	ɕigatsɯ
４⿵冂二⿹？灬⿸广⿱？比	ɕigatsɯbaka
４⿱二儿⿰木才⿰米斗	joɴgeɴzaiɾjoɯ
４⿱⺌彐５⿱艹洛	joɴtoɯgoɾakɯ
４⿴口一	jokːa
５	i
５００⿵冂丄⿻王丶	goçjakɯeɴdama
５５⿻干？⿰亻本⿰⿻？巾刂	godʑɯɯgoneɴtaisei
５Ｗ１Ｈ	godabɯɾjɯːitɕietɕːi
５⿵冂丄⿻王丶	goeɴdama
５⿵冂二	gogatsɯ
５⿴又丶⿰足各	gosaɾo
５⿴口一	itsɯka
６	mɯ
６⿵冂二	ɾokɯgatsɯ
６⿴口一	mɯika
７	ɕitɕi
７⿵冂二	ɕitɕigatsɯ
７⿵冂二⿱一土⿰正攵	ɕitɕigatsɯoɯsei
７⿴口一	nanɯka
８	hatɕi
８３⿱人云	hatɕisaɴkai
８９３	jakɯza
８⿵冂二	hatɕigatsɯ
８⿺辶隹⿰娄攵	hatɕiɕiɴsɯɯ
８⿴口一	joɯka
９	kjɯɯ
９１１⿻⿳一口彐亅⿰亻牛	kjɯɯitɕiitɕidʑikeɴ
９⿵冂二	kɯgatsɯ
９⿴口一	kokonɯka
Ａ	eː
Ａ．Ｄ．	eːdeiː
Ａ１	eːɰᵝaɴ
Ａ４⿰半刂	eːjoɴbaɴ
Ａ５⿰半刂	eːgohaɴ
Ａ６⿰半刂	eːɾokɯbaɴ
ＡＡ⿱人云⿰言義	eːeːkaigi
ＡＢＣ	eːbiːɕiː
ＡＢＣＤ⿹勹巳囲⿰阝車	eːbiːɕiːdeiːhoɯidʑiɴ
ＡＢＣ⿰川頁	eːbiːɕiːdʑɯɴ
ＡＢＭ	eːbiːemɯ
ＡＢＯ⿹弋工⿱丿皿⿰氵夜⿱刑土	eːbiːoːɕikiketsɯekigata
ＡＢ⿱刑土	eːbiːgata
ＡＣ	eːɕiː
ＡＣＬ	eːɕiːeɾɯ
ＡＣＭ	eːɕiːemɯ
ＡＣＯＳ	eːkosɯ
ＡＤ	eːdeiː
ＡＤＥＳＳ	adesɯ
ＡＤＨＤ	eːdeiːetɕːideiː
ＡＤＰ	eːdeiːpiː
ＡＤＰＣＭ	eːdeiːpiːɕiːemɯ
ＡＤＳＬ	eːdeiːesɯeɾɯ
ＡＧＲ	eːdʑiːaːɾɯ
ＡＩ	eːai
ＡＩＤＳ	eizɯ
ＡＩＤ？⿱一丄⿰扌受⿰米青	çihaigɯɯɕakaɴdʑiɴkoɯdʑɯsei
ＡＩＨ？⿱一丄⿰扌受⿰米青	haigɯɯɕakaɴdʑiɴkoɯdʑɯsei
ＡＫＹ	eːkeiɰᵝai
ＡＬＤ	eieɾɯdeiː
ＡＬＥ	eieɾɯiː
ＡＬＳ	eːeɾɯesɯ
ＡＬＴ	eieɾɯteiː
ＡＭＰ	eːemɯpiː
ＡＮＤ⿴囗口⿰足各	aɴdokaiɾo
ＡＯ	eːoː
ＡＯＣＥ	eːoːɕiːiː
